name,year,duration,genre,rate,is_mature,movie_url
Alice in Borderland,2020– ,"50,m","Action,Drama,Mystery",7.7,TV-MA,https://www.imdb.com/title/tt10795658/?ref_=adv_li_tt
The Last of Us,2023– ,"50,m","Action,Adventure,Drama",9.2,TV-MA,https://www.imdb.com/title/tt3581920/?ref_=adv_li_tt
The Handmaid's Tale,2017– ,"1,h","Drama,Sci-Fi,Thriller",8.4,TV-MA,https://www.imdb.com/title/tt5834204/?ref_=adv_li_tt
Rick and Morty,2013– ,"23,m","Animation,Adventure,Comedy",9.1,TV-14,https://www.imdb.com/title/tt2861424/?ref_=adv_li_tt
La Brea,2021– ,,"Drama,Mystery,Sci-Fi",5.7,TV-14,https://www.imdb.com/title/tt11640018/?ref_=adv_li_tt
Star Trek: The Next Generation,1987–1994,"44,m","Action,Adventure,Sci-Fi",8.7,TV-PG,https://www.imdb.com/title/tt0092455/?ref_=adv_li_tt
Black Adam,2022,,"Action,Adventure,Fantasy",6.4,PG-13,https://www.imdb.com/title/tt6443346/?ref_=adv_li_tt
The Last of Us,2013,,"Action,Adventure,Drama",9.7,M,https://www.imdb.com/title/tt2140553/?ref_=adv_li_tt
Interstellar,2014,,"Adventure,Drama,Sci-Fi",8.6,PG-13,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt
Avatar,2009,,"Action,Adventure,Fantasy",7.9,PG-13,https://www.imdb.com/title/tt0499549/?ref_=adv_li_tt
The X-Files,1993–2018,"45,m","Crime,Drama,Mystery",8.6,TV-14,https://www.imdb.com/title/tt0106179/?ref_=adv_li_tt
The Ark,2023– ,"50,m","Drama,Mystery,Sci-Fi",3.7,TV-14,https://www.imdb.com/title/tt17371078/?ref_=adv_li_tt
Black Panther,2018,,"Action,Adventure,Sci-Fi",7.3,PG-13,https://www.imdb.com/title/tt1825683/?ref_=adv_li_tt
The VelociPastor,2018,,"Action,Adventure,Comedy",5,Not Rated,https://www.imdb.com/title/tt1843303/?ref_=adv_li_tt
Lost,2004–2010,"44,m","Adventure,Drama,Fantasy",8.3,TV-14,https://www.imdb.com/title/tt0411008/?ref_=adv_li_tt
American Horror Story,2011– ,"1,h","Drama,Horror,Sci-Fi",8,TV-MA,https://www.imdb.com/title/tt1844624/?ref_=adv_li_tt
Loki,2021– ,"53,m","Action,Adventure,Fantasy",8.2,TV-14,https://www.imdb.com/title/tt9140554/?ref_=adv_li_tt
Fringe,2008–2013,"46,m","Drama,Mystery,Sci-Fi",8.4,TV-14,https://www.imdb.com/title/tt1119644/?ref_=adv_li_tt
Dune,2021,,"Action,Adventure,Drama",8,PG-13,https://www.imdb.com/title/tt1160419/?ref_=adv_li_tt
Avengers: Endgame,2019,,"Action,Adventure,Drama",8.4,PG-13,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt
Jurassic World: Dominion,2022,,"Action,Adventure,Sci-Fi",5.6,PG-13,https://www.imdb.com/title/tt8041270/?ref_=adv_li_tt
Fear the Walking Dead,2015–2023,"44,m","Drama,Horror,Sci-Fi",6.8,TV-MA,https://www.imdb.com/title/tt3743822/?ref_=adv_li_tt
Thor: Love and Thunder,2022,,"Action,Adventure,Comedy",6.3,PG-13,https://www.imdb.com/title/tt10648342/?ref_=adv_li_tt
Manifest,2018– ,"43,m","Drama,Mystery,Sci-Fi",7.1,TV-14,https://www.imdb.com/title/tt8421350/?ref_=adv_li_tt
Ant-Man and the Wasp,2018,,"Action,Adventure,Comedy",7,PG-13,https://www.imdb.com/title/tt5095030/?ref_=adv_li_tt
The Peripheral,2022– ,,"Drama,Mystery,Sci-Fi",7.7,TV-MA,https://www.imdb.com/title/tt8291284/?ref_=adv_li_tt
Extraordinary,2023– ,"25,m","Action,Adventure,Comedy",7.9,TV-MA,https://www.imdb.com/title/tt14531842/?ref_=adv_li_tt
Transformers: Rise of the Beasts,2023,,"Action,Adventure,Sci-Fi",,,https://www.imdb.com/title/tt5090568/?ref_=adv_li_tt
Westworld,2016–2022,"1,h, ,2,m","Drama,Mystery,Sci-Fi",8.5,TV-MA,https://www.imdb.com/title/tt0475784/?ref_=adv_li_tt
Black Mirror,2011–2019,"1,h","Drama,Mystery,Sci-Fi",8.8,TV-MA,https://www.imdb.com/title/tt2085059/?ref_=adv_li_tt
Doctor Who,2005– ,"45,m","Adventure,Drama,Sci-Fi",8.6,TV-PG,https://www.imdb.com/title/tt0436992/?ref_=adv_li_tt
The Super Mario Bros. Movie,2023,,"Animation,Adventure,Comedy",,PG,https://www.imdb.com/title/tt6718170/?ref_=adv_li_tt
Stargate SG-1,1997–2007,"44,m","Action,Adventure,Drama",8.4,TV-14,https://www.imdb.com/title/tt0118480/?ref_=adv_li_tt
The Prestige,2006,,"Drama,Mystery,Sci-Fi",8.5,PG-13,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt
"Love, Death & Robots",2019– ,"15,m","Animation,Short,Action",8.4,TV-MA,https://www.imdb.com/title/tt9561862/?ref_=adv_li_tt
Eternals,2021,,"Action,Adventure,Fantasy",6.3,PG-13,https://www.imdb.com/title/tt9032400/?ref_=adv_li_tt
Doom Patrol,2019–2023,"1,h","Action,Adventure,Comedy",7.8,TV-MA,https://www.imdb.com/title/tt8416494/?ref_=adv_li_tt
The Last of Us: Part II,2020,,"Action,Adventure,Drama",8.6,M,https://www.imdb.com/title/tt6298000/?ref_=adv_li_tt
Three-Body,2023– ,,"Drama,Mystery,Sci-Fi",8,,https://www.imdb.com/title/tt20242042/?ref_=adv_li_tt
About Time,2013,,"Comedy,Drama,Fantasy",7.8,R,https://www.imdb.com/title/tt2194499/?ref_=adv_li_tt
Back to the Future,1985,,"Adventure,Comedy,Sci-Fi",8.5,PG,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt
Arcane,2021– ,"41,m","Animation,Action,Adventure",9,TV-14,https://www.imdb.com/title/tt11126994/?ref_=adv_li_tt
Doctor Strange in the Multiverse of Madness,2022,,"Action,Adventure,Fantasy",6.9,PG-13,https://www.imdb.com/title/tt9419884/?ref_=adv_li_tt
Strange World,2022,,"Animation,Action,Adventure",5.6,PG,https://www.imdb.com/title/tt10298840/?ref_=adv_li_tt
Star Trek: Voyager,1995–2001,"44,m","Action,Adventure,Sci-Fi",7.8,TV-PG,https://www.imdb.com/title/tt0112178/?ref_=adv_li_tt
The Suicide Squad,2021,,"Action,Adventure,Comedy",7.2,R,https://www.imdb.com/title/tt6334354/?ref_=adv_li_tt
Star Trek: Deep Space Nine,1993–1999,"45,m","Action,Adventure,Drama",8.1,TV-PG,https://www.imdb.com/title/tt0106145/?ref_=adv_li_tt
Eternal Sunshine of the Spotless Mind,2004,,"Drama,Romance,Sci-Fi",8.3,R,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
Guardians of the Galaxy,2014,,"Action,Adventure,Comedy",8,PG-13,https://www.imdb.com/title/tt2015381/?ref_=adv_li_tt
Star Trek,1966–1969,"50,m","Action,Adventure,Sci-Fi",8.4,TV-PG,https://www.imdb.com/title/tt0060028/?ref_=adv_li_tt
Rogue One: A Star Wars Story,2016,,"Action,Adventure,Sci-Fi",7.8,PG-13,https://www.imdb.com/title/tt3748528/?ref_=adv_li_tt
War of the Worlds,2005,,"Action,Adventure,Sci-Fi",6.5,PG-13,https://www.imdb.com/title/tt0407304/?ref_=adv_li_tt
Guardians of the Galaxy Vol. 2,2017,,"Action,Adventure,Comedy",7.6,PG-13,https://www.imdb.com/title/tt3896198/?ref_=adv_li_tt
Blue Beetle,2023,,"Action,Adventure,Sci-Fi",,,https://www.imdb.com/title/tt9362930/?ref_=adv_li_tt
Transformers,2007,,"Action,Adventure,Sci-Fi",7,PG-13,https://www.imdb.com/title/tt0418279/?ref_=adv_li_tt
A Quiet Place,2018,,"Drama,Horror,Sci-Fi",7.5,PG-13,https://www.imdb.com/title/tt6644200/?ref_=adv_li_tt
Passengers,2016,,"Drama,Romance,Sci-Fi",7,PG-13,https://www.imdb.com/title/tt1355644/?ref_=adv_li_tt
The Meg 2: The Trench,2023,,"Action,Adventure,Horror",,,https://www.imdb.com/title/tt9224104/?ref_=adv_li_tt
Prey,2022,,"Action,Adventure,Drama",7.1,R,https://www.imdb.com/title/tt11866324/?ref_=adv_li_tt
Aliens,1986,,"Action,Adventure,Sci-Fi",8.4,R,https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt
Futurama,1999–2023,"22,m","Animation,Adventure,Comedy",8.5,TV-14,https://www.imdb.com/title/tt0149460/?ref_=adv_li_tt
Crimes of the Future,2022,,"Drama,Horror,Sci-Fi",5.9,R,https://www.imdb.com/title/tt14549466/?ref_=adv_li_tt
Deadpool 2,2018,,"Action,Adventure,Comedy",7.7,R,https://www.imdb.com/title/tt5463162/?ref_=adv_li_tt
The Rig,2023– ,"51,m","Drama,Mystery,Sci-Fi",5.8,13+,https://www.imdb.com/title/tt14273790/?ref_=adv_li_tt
Aquaman and the Lost Kingdom,2023,,"Action,Adventure,Fantasy",,,https://www.imdb.com/title/tt9663764/?ref_=adv_li_tt
A Clockwork Orange,1971,,"Crime,Sci-Fi",8.3,X,https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt
Avengers: The Kang Dynasty,2025,,"Action,Adventure,Sci-Fi",,,https://www.imdb.com/title/tt21357150/?ref_=adv_li_tt
Free Guy,2021,,"Action,Adventure,Comedy",7.1,PG-13,https://www.imdb.com/title/tt6264654/?ref_=adv_li_tt
Terminator 2: Judgment Day,1991,,"Action,Sci-Fi",8.6,R,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt
Lovecraft Country,2020,"1,h","Drama,Fantasy,Horror",7.1,TV-MA,https://www.imdb.com/title/tt6905686/?ref_=adv_li_tt
Divergent,2014,,"Action,Adventure,Mystery",6.6,PG-13,https://www.imdb.com/title/tt1840309/?ref_=adv_li_tt
28 Days Later,2002,,"Drama,Horror,Sci-Fi",7.5,R,https://www.imdb.com/title/tt0289043/?ref_=adv_li_tt
Adventure Time,2010–2018,"11,m","Animation,Action,Adventure",8.6,TV-PG,https://www.imdb.com/title/tt1305826/?ref_=adv_li_tt
Morbius,2022,,"Action,Adventure,Horror",5.2,PG-13,https://www.imdb.com/title/tt5108870/?ref_=adv_li_tt
World War Z,2013,,"Action,Adventure,Horror",7,PG-13,https://www.imdb.com/title/tt0816711/?ref_=adv_li_tt
The Martian,2015,,"Adventure,Drama,Sci-Fi",8,PG-13,https://www.imdb.com/title/tt3659388/?ref_=adv_li_tt
Resident Alien,2021– ,"44,m","Comedy,Drama,Mystery",8.1,TV-14,https://www.imdb.com/title/tt8690918/?ref_=adv_li_tt
Black Widow,2021,,"Action,Adventure,Sci-Fi",6.7,PG-13,https://www.imdb.com/title/tt3480822/?ref_=adv_li_tt
A.I. Artificial Intelligence,2001,,"Drama,Sci-Fi",7.2,PG-13,https://www.imdb.com/title/tt0212720/?ref_=adv_li_tt
Spider-Man: Across the Spider-Verse,2023,,"Animation,Action,Adventure",,,https://www.imdb.com/title/tt9362722/?ref_=adv_li_tt
Iron Man,2008,,"Action,Adventure,Sci-Fi",7.9,PG-13,https://www.imdb.com/title/tt0371746/?ref_=adv_li_tt
Ready Player One,2018,,"Action,Adventure,Sci-Fi",7.4,PG-13,https://www.imdb.com/title/tt1677720/?ref_=adv_li_tt
Batman & Robin,1997,,"Action,Sci-Fi",3.7,PG-13,https://www.imdb.com/title/tt0118688/?ref_=adv_li_tt
Barb Wire,1996,,"Action,Sci-Fi",3.5,R,https://www.imdb.com/title/tt0115624/?ref_=adv_li_tt
Man of Steel,2013,,"Action,Adventure,Sci-Fi",7.1,PG-13,https://www.imdb.com/title/tt0770828/?ref_=adv_li_tt
Star Wars: Episode IX - The Rise of Skywalker,2019,,"Action,Adventure,Fantasy",6.5,PG-13,https://www.imdb.com/title/tt2527338/?ref_=adv_li_tt
Watchmen,2009,,"Action,Drama,Mystery",7.6,R,https://www.imdb.com/title/tt0409459/?ref_=adv_li_tt
Cocoon,1985,,"Comedy,Drama,Sci-Fi",6.7,PG-13,https://www.imdb.com/title/tt0088933/?ref_=adv_li_tt
Armageddon,1998,,"Action,Adventure,Sci-Fi",6.7,PG-13,https://www.imdb.com/title/tt0120591/?ref_=adv_li_tt
WALL·E,2008,,"Animation,Adventure,Family",8.4,G,https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt
Heroes,2006–2010,"45,m","Drama,Fantasy,Sci-Fi",7.5,TV-14,https://www.imdb.com/title/tt0813715/?ref_=adv_li_tt
Logan,2017,,"Action,Drama,Sci-Fi",8.1,R,https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt
The Thing,1982,,"Horror,Mystery,Sci-Fi",8.2,R,https://www.imdb.com/title/tt0084787/?ref_=adv_li_tt
The Platform,2019,,"Horror,Sci-Fi,Thriller",7,TV-MA,https://www.imdb.com/title/tt8228288/?ref_=adv_li_tt
Minority Report,2002,,"Action,Crime,Mystery",7.6,PG-13,https://www.imdb.com/title/tt0181689/?ref_=adv_li_tt
Mad God,2021,,"Animation,Fantasy,Horror",6.8,,https://www.imdb.com/title/tt15090124/?ref_=adv_li_tt
Star Wars: Episode VI - Return of the Jedi,1983,,"Action,Adventure,Fantasy",8.3,PG,https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt
Valerian and the City of a Thousand Planets,2017,,"Action,Adventure,Fantasy",6.4,PG-13,https://www.imdb.com/title/tt2239822/?ref_=adv_li_tt
Ghostbusters,1984,,"Action,Comedy,Fantasy",7.8,PG,https://www.imdb.com/title/tt0087332/?ref_=adv_li_tt
Weird Science,1985,,"Comedy,Romance,Sci-Fi",6.6,PG-13,https://www.imdb.com/title/tt0090305/?ref_=adv_li_tt
Blindspot,2015–2020,"42,m","Action,Crime,Drama",7.3,TV-14,https://www.imdb.com/title/tt4474344/?ref_=adv_li_tt
DC's Legends of Tomorrow,2016–2022,"42,m","Action,Adventure,Drama",6.8,TV-14,https://www.imdb.com/title/tt4532368/?ref_=adv_li_tt
The Tomorrow War,2021,,"Action,Adventure,Drama",6.5,PG-13,https://www.imdb.com/title/tt9777666/?ref_=adv_li_tt
2012,2009,,"Action,Adventure,Sci-Fi",5.8,PG-13,https://www.imdb.com/title/tt1190080/?ref_=adv_li_tt
Stargate,1994,,"Action,Adventure,Sci-Fi",7,PG-13,https://www.imdb.com/title/tt0111282/?ref_=adv_li_tt
Okja,2017,,"Action,Adventure,Drama",7.3,TV-MA,https://www.imdb.com/title/tt3967856/?ref_=adv_li_tt
12 Monkeys,1995,,"Mystery,Sci-Fi,Thriller",8,R,https://www.imdb.com/title/tt0114746/?ref_=adv_li_tt
The Last Ship,2014–2018,"1,h","Action,Drama,Sci-Fi",7.4,TV-14,https://www.imdb.com/title/tt2402207/?ref_=adv_li_tt
Dune,1984,,"Action,Adventure,Sci-Fi",6.3,PG-13,https://www.imdb.com/title/tt0087182/?ref_=adv_li_tt
The OA,2016–2019,"1,h","Drama,Fantasy,Mystery",7.8,TV-MA,https://www.imdb.com/title/tt4635282/?ref_=adv_li_tt
DC League of Super-Pets,2022,,"Animation,Action,Adventure",7.2,PG,https://www.imdb.com/title/tt8912936/?ref_=adv_li_tt
Hawkeye,2021,"5,h, ,39,m","Action,Adventure,Crime",7.5,TV-14,https://www.imdb.com/title/tt10160804/?ref_=adv_li_tt
Family Matters,1989–1998,"30,m","Adventure,Comedy,Drama",6.6,TV-G,https://www.imdb.com/title/tt0096579/?ref_=adv_li_tt
Prospect,2018,,"Adventure,Drama,Sci-Fi",6.3,R,https://www.imdb.com/title/tt7946422/?ref_=adv_li_tt
E.T. the Extra-Terrestrial,1982,,"Adventure,Family,Sci-Fi",7.9,PG,https://www.imdb.com/title/tt0083866/?ref_=adv_li_tt
Aquaman,2018,,"Action,Adventure,Fantasy",6.8,PG-13,https://www.imdb.com/title/tt1477834/?ref_=adv_li_tt
Rebel Moon,2023,,"Action,Adventure,Drama",,,https://www.imdb.com/title/tt14998742/?ref_=adv_li_tt
Avengers: Age of Ultron,2015,,"Action,Adventure,Sci-Fi",7.3,PG-13,https://www.imdb.com/title/tt2395427/?ref_=adv_li_tt
Wonder Woman,2017,,"Action,Adventure,Fantasy",7.4,PG-13,https://www.imdb.com/title/tt0451279/?ref_=adv_li_tt
RoboCop,1987,,"Action,Crime,Sci-Fi",7.6,R,https://www.imdb.com/title/tt0093870/?ref_=adv_li_tt
Kingdom of the Planet of the Apes,2024,,"Action,Sci-Fi",,,https://www.imdb.com/title/tt11389872/?ref_=adv_li_tt
Night Sky,2022,"55,m","Adventure,Drama,Fantasy",7.4,TV-14,https://www.imdb.com/title/tt13361448/?ref_=adv_li_tt
The Hunger Games: Mockingjay - Part 1,2014,,"Action,Adventure,Sci-Fi",6.6,PG-13,https://www.imdb.com/title/tt1951265/?ref_=adv_li_tt
Jurassic World: Fallen Kingdom,2018,,"Action,Adventure,Sci-Fi",6.1,PG-13,https://www.imdb.com/title/tt4881806/?ref_=adv_li_tt
Mr. Mercedes,2017–2019,"1,h","Crime,Drama,Mystery",7.8,TV-MA,https://www.imdb.com/title/tt4354880/?ref_=adv_li_tt
Kindred,2022,"42,m","Drama,Fantasy,Mystery",7.4,TV-MA,https://www.imdb.com/title/tt14376190/?ref_=adv_li_tt
Solo: A Star Wars Story,2018,,"Action,Adventure,Sci-Fi",6.9,PG-13,https://www.imdb.com/title/tt3778644/?ref_=adv_li_tt
The Legend of Korra,2012–2014,"23,m","Animation,Action,Adventure",8.4,TV-PG,https://www.imdb.com/title/tt1695360/?ref_=adv_li_tt
Back to the Future Part II,1989,,"Adventure,Comedy,Sci-Fi",7.8,PG,https://www.imdb.com/title/tt0096874/?ref_=adv_li_tt
Inside Job,2021–2022,"30,m","Animation,Comedy,Fantasy",7.7,TV-14,https://www.imdb.com/title/tt10231312/?ref_=adv_li_tt
Significant Other,2022,,"Drama,Mystery,Sci-Fi",5.7,R,https://www.imdb.com/title/tt15353964/?ref_=adv_li_tt
Ms. Marvel,2022,"4,h, ,31,m","Action,Adventure,Comedy",6.2,TV-PG,https://www.imdb.com/title/tt10857164/?ref_=adv_li_tt
Transformers: The Last Knight,2017,,"Action,Adventure,Sci-Fi",5.2,PG-13,https://www.imdb.com/title/tt3371366/?ref_=adv_li_tt
Babylon 5,1993–1998,"45,m","Action,Adventure,Drama",8.4,TV-PG,https://www.imdb.com/title/tt0105946/?ref_=adv_li_tt
Vanilla Sky,2001,,"Fantasy,Mystery,Romance",6.9,R,https://www.imdb.com/title/tt0259711/?ref_=adv_li_tt
Star Wars: Episode III - Revenge of the Sith,2005,,"Action,Adventure,Fantasy",7.6,PG-13,https://www.imdb.com/title/tt0121766/?ref_=adv_li_tt
Doctor Strange,2016,,"Action,Adventure,Fantasy",7.5,PG-13,https://www.imdb.com/title/tt1211837/?ref_=adv_li_tt
Castle Rock,2018–2019,"1,h","Drama,Fantasy,Horror",7.5,TV-MA,https://www.imdb.com/title/tt6548228/?ref_=adv_li_tt
Finch,2021,,"Adventure,Drama,Sci-Fi",6.9,PG-13,https://www.imdb.com/title/tt3420504/?ref_=adv_li_tt
Stargirl,2020–2022,"9,h, ,26,m","Action,Adventure,Crime",7.2,TV-PG,https://www.imdb.com/title/tt8722888/?ref_=adv_li_tt
The Lego Movie,2014,,"Animation,Action,Adventure",7.7,PG,https://www.imdb.com/title/tt1490017/?ref_=adv_li_tt
Mila in the Multiverse,2023– ,,"Adventure,Comedy,Drama",5,,https://www.imdb.com/title/tt15551300/?ref_=adv_li_tt
Unbreakable,2000,,"Drama,Mystery,Sci-Fi",7.3,PG-13,https://www.imdb.com/title/tt0217869/?ref_=adv_li_tt
Men in Black II,2002,,"Action,Adventure,Comedy",6.1,PG-13,https://www.imdb.com/title/tt0120912/?ref_=adv_li_tt
Cloud Atlas,2012,,"Drama,Mystery,Sci-Fi",7.4,R,https://www.imdb.com/title/tt1371111/?ref_=adv_li_tt
Lucy,2014,,"Action,Sci-Fi,Thriller",6.4,R,https://www.imdb.com/title/tt2872732/?ref_=adv_li_tt
